	2418	Columbia College
	2451	Chicago State University
	2453	DePaul University
	2455	Illinois Institute of Technology Chicago
	2456	Loyola University Chicago
	2458	Northeastern Illinois University
	2460	Roosevelt University
	2462	University of Chicago
2462	166952	University of Chicago, Department of Geophysical Sciences
2462	172335	University of Chicago, Enrico Fermi Institute
2462	226676	University of Chicago, Department of Astronomy and Astrophysics
2462	A1115	University of Chicago, Kavli Institute for Cosmological Physics
2462	A1116	University of Chicago, Department of Physics
2462	A1117	University of Chicago, Yerkes Observatory
	2495	University of Otago, New Zealand
2495	168991	University of Otago, Department of Physics
	2496	University of Canterbury
2496	A1653	University of Canterbury, Department of Physics and Astronomy
	2498	Edith Cowan University
2514	A1801	University of Cincinnati, Department of Physics
	2515	Xavier University, Ohio
	2525	Claremont University Consortium
2525	2529	Pomona College
2525	2530	Claremont McKenna College
2525	31750	Harvey Mudd College
2525	31752	Scripps College
	2536	Austin Peay State University
	2541	Monash University
2541	161674	Monash University, School of Geosciences
2541	161675	Monash University, School of Mathematical Sciences
2541	161676	Monash University, School of Physics
2541	A1669	Monash University, School of Astrophysics
2541	A1670	Monash University, School of Earth Atmosphere and Environment
	2545	Clemson University
2545	A1054	Clemson University, Department of Physics and Astronomy
	2546	Case Western Reserve University
2546	271918	Case Western Reserve University, Department of Physics
2546	A1089	Case Western Reserve University, Department of Astronomy
	2576	Hamilton College
	2591	University of Essex, UK
	2596	University of Ulster
	2610	Colorado College
	2628	University of Missouri
2628	12271	University of Missouri, Columbia
2628	12273	University of Missouri, Kansas City
2628	14611	University of Missouri, Saint Louis
2628	14717	University of Missouri, Rolla
2628	312020	University of Missouri, Columbia, Department of Physics
2628	A1104	University of Missouri, Saint Louis, Department of Physics and Astronomy
	2629	University of South Carolina
2629	A1069	University of South Carolina, Department of Physics and Astronomy
2647	242614	The Ohio State University, School of Earth Sciences
2647	A1090	The Ohio State University, Department of Astronomy
2647	A1091	The Ohio State University, Department of Physics
	2655	Texas A&M University System
2655	14736	Texas A&M University, College Station
2655	14737	Texas A&M University, Commerce
2655	14738	Texas A&M University, Corpus Christi
2655	14739	Texas A&M University, Kingsville
2655	33604	Texas A&M University, Galveston
2655	6717	Texas A&M University, Prairie View
	2672	Coastal Carolina University
	2673	University of Central Arkansas
2694	97120	Oregon State University, Corvallis, College of Oceanic and Atmospheric Sciences
	2695	Oregon State University System
2695	2694	Oregon State University, Corvallis
2695	3265	University of Oregon
2695	6684	Oregon Health and Science University
2695	6685	Portland State University
2695	90665	Oregon State University, Newport
	2706	Coventry University, UK
	2707	University of Warwick, UK
2707	417804	University of Warwick, Department of Physics
	2717	Cranfield University, UK
	2719	Wabash College
	2720	University of Western Australia
2720	376303	University of Western Australia, School of Earth and Environment
2720	98501	University of Western Australia, School of Physics
2720	A1676	International Centre for Radio Astronomy Research
	2764	Tennessee Technological University
	2765	Southern Methodist University
	2771	Connecticut State University
2771	2770	Western Connecticut State University
2771	5745	Central Connecticut State University
2771	5762	Southern Connecticut State University
2771	8600	Eastern Connecticut State University
	2779	Centre College
	2814	Nova Southeastern University
	2824	University of Dayton
	2830	Embry Riddle Aeronautical University
2830	52459	Embry Riddle Aeronautical University, Prescott AZ
2830	A1055	Embry Riddle Aeronautical University, Department of Physical Sciences
	2837	Agnes Scott College
	2840	Millikin University
	2848	Northern Illinois University
	2854	Ohio Wesleyan University
	2859	TNO, Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek
	2860	Technische Universiteit Delft
2860	416685	Technische Universiteit Delft, Faculty of Technical Geosciences and Engineering
2860	A1233	Technische Universiteit Delft, Institute for Earth Observation and Space Systems
	2905	NWO, Netherlandse Organisatie voor Wetenschappelijk Onderzoek
2905	55942	ASTRON, Netherlands Foundation for Research in Astronomy
2905	55944	SRON, Netherlands Institute for Space Research
	2927	University of Denver
2927	236458	University of Denver, Department of Physics and Astronomy
	2928	US Geological Survey 
2928	110093	US Geological Survey, Sioux Falls
2928	124307	US Geological Survey, Flagstaff
2928	124315	US Geological Survey, Hawaii
2928	189579	University of Washington, USGS School of Oceanography
2928	265219	US Geological Survey, Tucson
2928	288473	US Geological Survey, Alaska
2928	70255	US Geological Survey, Menlo Park
2928	93526	US Geological Survey, Colorado
2928	A1154	US Geological Survey, Woods Hole
	2948	Drake University
	2954	Wayne State University
2954	A1076	Wayne State University, Department of Physics and Astronomy
	3007	Delaware State University
	3041	University of Abertay
	3042	University of Dundee
